UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temp_difference,torque-per-rpm
4018,L51197,L,302.0,310.8,1902,23.4,188,0,0,0,0,0,0,8.800000000000011,0.012302839116719241
4019,M18878,M,302.0,310.8,1783,23.1,190,0,0,0,0,0,0,8.800000000000011,0.012955692652832305
4020,M18879,M,302.0,310.9,1558,45.3,193,0,0,0,0,0,0,8.899999999999977,0.02907573812580231
4021,L51200,L,302.1,311.0,1351,49.5,196,0,0,0,0,0,0,8.899999999999977,0.03663952627683198
4022,H33435,H,302.1,310.9,1452,42.5,198,0,0,0,0,0,0,8.799999999999955,0.029269972451790634
4023,L51202,L,302.1,310.9,1666,30.7,203,0,0,0,0,0,0,8.799999999999955,0.018427370948379353
4024,L51203,L,302.1,311.0,1364,50.0,205,0,0,0,0,0,0,8.899999999999977,0.036656891495601175
4025,M18884,M,302.1,311.0,1351,60.3,207,1,0,0,0,1,0,8.899999999999977,0.04463360473723168
4026,H33439,H,302.1,311.0,1729,26.1,210,0,0,0,0,0,0,8.899999999999977,0.01509543088490457
4027,M18886,M,302.1,311.0,1574,34.1,215,0,0,0,0,0,0,8.899999999999977,0.021664548919949175
4028,L51207,L,302.0,311.0,1566,37.8,218,0,0,0,0,0,0,9.0,0.02413793103448276
4029,L51208,L,302.0,310.9,1455,43.2,220,0,0,0,0,0,0,8.899999999999977,0.02969072164948454
4030,H33443,H,302.0,310.9,1679,29.0,222,0,0,0,0,0,0,8.899999999999977,0.017272185824895772
4031,L51210,L,302.0,310.8,2143,17.3,227,0,0,0,0,0,0,8.800000000000011,0.0080727951469902
4032,L51211,L,302.0,310.8,1447,42.7,229,0,0,0,0,0,0,8.800000000000011,0.02950932964754665
4033,L51212,L,302.0,310.8,1383,50.3,231,1,0,0,0,1,0,8.800000000000011,0.0363702096890817
4034,L51213,L,302.1,310.8,1772,27.1,233,0,0,0,0,0,0,8.699999999999989,0.015293453724604967
4035,L51214,L,302.0,310.8,1615,29.0,235,1,1,0,0,0,0,8.800000000000011,0.017956656346749224
4036,L51215,L,302.0,310.8,1454,36.6,0,0,0,0,0,0,0,8.800000000000011,0.02517193947730399
4037,L51216,L,302.0,310.8,1445,49.1,2,0,0,0,0,0,0,8.800000000000011,0.033979238754325264
4038,M18897,M,302.0,310.8,1609,35.2,4,0,0,0,0,0,0,8.800000000000011,0.021876942200124302
4039,L51218,L,302.0,310.9,1546,34.4,7,0,0,0,0,0,0,8.899999999999977,0.0222509702457956
4040,L51219,L,301.9,310.8,1567,39.3,9,0,0,0,0,0,0,8.900000000000034,0.025079770261646456
4041,L51220,L,302.0,310.8,1767,27.4,11,0,0,0,0,0,0,8.800000000000011,0.015506508205998868
4042,L51221,L,302.0,310.9,1539,34.2,13,0,0,0,0,0,0,8.899999999999977,0.022222222222222223
4043,L51222,L,302.0,310.9,1564,39.0,15,0,0,0,0,0,0,8.899999999999977,0.024936061381074168
4044,M18903,M,302.0,310.8,1445,46.3,17,0,0,0,0,0,0,8.800000000000011,0.03204152249134948
4045,M18904,M,301.9,310.9,1419,47.7,20,1,0,0,0,0,0,9.0,0.033615221987315015
4046,M18905,M,301.8,310.9,1881,20.9,23,0,0,0,0,0,0,9.099999999999966,0.01111111111111111
4047,M18906,M,301.9,310.9,1421,46.2,26,0,0,0,0,0,0,9.0,0.03251231527093596
4048,L51227,L,301.9,311.0,1455,46.0,29,0,0,0,0,0,0,9.100000000000023,0.03161512027491409
4049,L51228,L,301.9,311.0,2691,12.1,31,1,0,0,1,0,0,9.100000000000023,0.004496469713861018
4050,L51229,L,301.8,310.8,1505,41.2,33,0,0,0,0,0,0,9.0,0.02737541528239203
4051,L51230,L,301.8,310.8,1456,46.6,35,0,0,0,0,0,0,9.0,0.03200549450549451
4052,L51231,L,301.8,310.8,1383,46.4,37,0,0,0,0,0,0,9.0,0.03355025307302965
4053,M18912,M,301.9,310.8,1563,39.2,39,0,0,0,0,0,0,8.900000000000034,0.02507997440818938
4054,M18913,M,301.9,310.9,2305,16.1,42,0,0,0,0,0,0,9.0,0.006984815618221259
4055,M18914,M,301.9,310.9,1456,43.6,45,0,0,0,0,0,0,9.0,0.029945054945054946
4056,L51235,L,302.0,311.0,1865,22.7,48,0,0,0,0,0,0,9.0,0.012171581769436998
4057,L51236,L,301.9,310.9,1597,36.9,50,0,0,0,0,0,0,9.0,0.023105823418910456
4058,L51237,L,302.0,310.9,1495,38.6,52,0,0,0,0,0,0,8.899999999999977,0.02581939799331104
4059,M18918,M,302.0,310.9,1456,47.2,54,0,0,0,0,0,0,8.899999999999977,0.03241758241758242
4060,L51239,L,301.9,310.8,1465,44.3,57,0,0,0,0,0,0,8.900000000000034,0.030238907849829348
4061,M18920,M,302.0,310.9,1352,55.5,59,0,0,0,0,0,0,8.899999999999977,0.04105029585798817
4062,L51241,L,301.9,310.8,1906,21.7,62,0,0,0,0,0,0,8.900000000000034,0.011385099685204616
4063,L51242,L,302.0,310.9,1446,44.0,64,0,0,0,0,0,0,8.899999999999977,0.030428769017980636
4064,L51243,L,302.0,310.8,1948,19.7,66,0,0,0,0,0,0,8.800000000000011,0.010112936344969198
4065,L51244,L,301.9,310.7,1480,47.1,68,0,0,0,0,0,0,8.800000000000011,0.031824324324324325
4066,M18925,M,301.9,310.7,1511,37.6,70,0,0,0,0,0,0,8.800000000000011,0.024884182660489744
4067,M18926,M,301.9,310.7,1472,47.0,73,0,0,0,0,0,0,8.800000000000011,0.03192934782608696
4068,L51247,L,301.9,310.7,1429,51.0,76,0,0,0,0,0,0,8.800000000000011,0.03568929321203639
4069,L51248,L,301.9,310.7,1405,48.8,78,0,0,0,0,0,0,8.800000000000011,0.034733096085409254
4070,M18929,M,301.9,310.7,1405,47.9,80,0,0,0,0,0,0,8.800000000000011,0.03409252669039146
4071,L51250,L,302.0,310.7,1348,58.1,83,0,0,0,0,0,0,8.699999999999989,0.04310089020771513
4072,L51251,L,301.9,310.6,1331,68.6,85,1,0,0,1,0,0,8.700000000000045,0.05154019534184823
4073,L51252,L,301.9,310.6,1610,33.4,87,0,0,0,0,0,0,8.700000000000045,0.02074534161490683
4074,M18933,M,301.9,310.6,1412,46.5,89,0,0,0,0,0,0,8.700000000000045,0.03293201133144476
4075,L51254,L,302.0,310.7,1453,42.7,92,0,0,0,0,0,0,8.699999999999989,0.029387474191328287
4076,L51255,L,302.0,310.6,1583,38.9,94,0,0,0,0,0,0,8.600000000000023,0.02457359444093493
4077,M18936,M,302.0,310.6,1539,37.4,96,0,0,0,0,0,0,8.600000000000023,0.024301494476933073
4078,L51257,L,302.0,310.5,1635,39.8,99,0,0,0,0,0,0,8.5,0.02434250764525994
4079,H33492,H,302.1,310.7,1294,62.4,101,1,0,1,0,0,0,8.599999999999966,0.0482225656877898
4080,L51259,L,302.0,310.5,1978,22.0,106,0,0,0,0,0,0,8.5,0.011122345803842264
4081,L51260,L,302.0,310.4,1357,58.0,108,1,0,1,0,0,0,8.399999999999977,0.04274134119380987
4082,L51261,L,302.0,310.4,1336,58.2,110,1,0,1,0,0,0,8.399999999999977,0.043562874251497005
4083,L51262,L,302.0,310.4,1568,39.2,112,0,0,0,0,0,0,8.399999999999977,0.025
4084,M18943,M,302.0,310.4,1567,36.4,114,0,0,0,0,0,0,8.399999999999977,0.023229100191448627
4085,L51264,L,302.0,310.4,1611,35.6,117,0,0,0,0,0,0,8.399999999999977,0.022098075729360647
4086,H33499,H,302.0,310.5,1841,23.6,119,0,0,0,0,0,0,8.5,0.012819120043454644
4087,L51266,L,302.0,310.5,1567,36.1,124,0,0,0,0,0,0,8.5,0.02303765156349713
4088,L51267,L,301.9,310.4,1376,54.9,126,1,0,1,0,0,0,8.5,0.03989825581395349
4089,L51268,L,301.9,310.5,1477,42.4,128,0,0,0,0,0,0,8.600000000000023,0.02870683818551117
4090,M18949,M,301.9,310.5,1590,40.3,130,0,0,0,0,0,0,8.600000000000023,0.025345911949685534
4091,L51270,L,302.0,310.5,2197,15.8,133,0,0,0,0,0,0,8.5,0.007191624943104233
4092,M18951,M,302.0,310.4,1595,32.9,135,0,0,0,0,0,0,8.399999999999977,0.0206269592476489
4093,H33506,H,302.0,310.5,1812,24.4,138,0,0,0,0,0,0,8.5,0.01346578366445916
4094,M18953,M,302.0,310.5,1573,32.1,143,0,0,0,0,0,0,8.5,0.020406865861411317
4095,L51274,L,302.0,310.5,1651,30.9,146,0,0,0,0,0,0,8.5,0.018715929739551787
4096,H33509,H,302.0,310.5,1459,43.2,148,0,0,0,0,0,0,8.5,0.029609321453050036
4097,L51276,L,301.9,310.4,1370,51.7,153,1,0,1,0,0,0,8.5,0.03773722627737226
4098,L51277,L,301.9,310.4,1518,34.1,155,0,0,0,0,0,0,8.5,0.02246376811594203
4099,L51278,L,302.0,310.3,1648,29.6,157,0,0,0,0,0,0,8.300000000000011,0.01796116504854369
4100,L51279,L,302.0,310.4,1464,47.2,159,0,0,0,0,0,0,8.399999999999977,0.03224043715846995
4101,L51280,L,302.0,310.4,1895,23.2,161,0,0,0,0,0,0,8.399999999999977,0.012242744063324538
4102,L51281,L,301.9,310.4,1884,23.4,163,0,0,0,0,0,0,8.5,0.012420382165605095
4103,L51282,L,302.0,310.4,1450,46.6,165,0,0,0,0,0,0,8.399999999999977,0.03213793103448276
4104,L51283,L,302.0,310.4,1448,43.4,167,0,0,0,0,0,0,8.399999999999977,0.029972375690607733
4105,L51284,L,302.1,310.5,1389,49.6,169,0,0,0,0,0,0,8.399999999999977,0.03570914326853852
4106,L51285,L,302.0,310.6,1583,35.2,171,0,0,0,0,0,0,8.600000000000023,0.022236260265319018
4107,L51286,L,301.9,310.5,1425,51.1,173,0,0,0,0,0,0,8.600000000000023,0.03585964912280702
4108,L51287,L,302.0,310.5,1809,27.1,175,0,0,0,0,0,0,8.5,0.01498065229408513
4109,L51288,L,301.9,310.5,1892,21.8,177,0,0,0,0,0,0,8.600000000000023,0.011522198731501057
4110,M18969,M,301.9,310.6,1475,47.8,179,0,0,0,0,0,0,8.700000000000045,0.032406779661016946
4111,L51290,L,302.0,310.6,1361,46.7,182,0,0,0,0,0,0,8.600000000000023,0.034313005143277
4112,M18971,M,302.0,310.6,1563,41.0,184,0,0,0,0,0,0,8.600000000000023,0.026231605886116442
4113,H33526,H,301.9,310.5,1472,39.7,187,0,0,0,0,0,0,8.600000000000023,0.026970108695652174
4114,L51293,L,302.0,310.6,1325,55.3,192,0,0,0,0,0,0,8.600000000000023,0.04173584905660377
4115,L51294,L,302.0,310.6,1358,53.1,194,0,0,0,0,0,0,8.600000000000023,0.03910162002945508
4116,H33529,H,302.0,310.6,1346,54.7,196,0,0,0,0,0,0,8.600000000000023,0.04063893016344725
4117,M18976,M,302.0,310.5,1381,58.4,201,0,0,0,0,0,0,8.5,0.04228819695872556
4118,L51297,L,301.9,310.5,1340,55.7,204,1,0,0,0,1,0,8.600000000000023,0.04156716417910448
4119,L51298,L,302.0,310.6,1366,47.7,206,0,0,0,0,0,0,8.600000000000023,0.0349194729136164
4120,L51299,L,302.1,310.7,1325,45.1,208,1,0,1,0,0,0,8.599999999999966,0.0340377358490566
4121,M18980,M,302.1,310.7,1376,46.3,210,1,0,1,0,0,0,8.599999999999966,0.03364825581395348
4122,M18981,M,302.1,310.7,1364,47.8,213,1,0,1,0,0,0,8.599999999999966,0.03504398826979472
4123,L51302,L,302.2,310.6,1462,43.6,0,0,0,0,0,0,0,8.400000000000034,0.029822161422708618
4124,M18983,M,302.1,310.6,1517,38.9,2,0,0,0,0,0,0,8.5,0.025642715886618324
4125,L51304,L,302.1,310.6,1385,53.6,5,0,0,0,0,0,0,8.5,0.038700361010830325
4126,L51305,L,302.1,310.6,1439,40.0,7,0,0,0,0,0,0,8.5,0.02779708130646282
4127,M18986,M,302.0,310.6,1623,34.3,9,0,0,0,0,0,0,8.600000000000023,0.02113370301910043
4128,H33541,H,302.0,310.6,1438,43.2,12,0,0,0,0,0,0,8.600000000000023,0.030041724617524343
4129,L51308,L,301.9,310.4,1708,24.8,17,0,0,0,0,0,0,8.5,0.014519906323185013
4130,M18989,M,301.8,310.3,1666,32.7,19,0,0,0,0,0,0,8.5,0.019627851140456183
4131,L51310,L,301.9,310.4,1286,62.8,22,1,0,1,0,0,0,8.5,0.04883359253499222
4132,L51311,L,301.9,310.3,1485,46.3,24,0,0,0,0,0,0,8.400000000000034,0.031178451178451177
4133,M18992,M,301.8,310.3,1409,52.5,26,0,0,0,0,0,0,8.5,0.03726046841731725
4134,L51313,L,301.8,310.3,1765,27.3,29,0,0,0,0,0,0,8.5,0.01546742209631728
4135,L51314,L,301.8,310.3,1688,28.8,31,0,0,0,0,0,0,8.5,0.017061611374407582
4136,M18995,M,301.7,310.3,1787,26.7,33,0,0,0,0,0,0,8.600000000000023,0.01494124230554001
4137,L51316,L,301.7,310.1,1487,48.0,36,0,0,0,0,0,0,8.400000000000034,0.03227975790181574
4138,L51317,L,301.7,310.1,1384,50.5,38,0,0,0,0,0,0,8.400000000000034,0.03648843930635838
4139,L51318,L,301.7,310.2,1311,57.4,40,1,0,1,0,0,0,8.5,0.043783371472158654
4140,H33553,H,301.7,310.2,1620,30.8,42,0,0,0,0,0,0,8.5,0.019012345679012346
4141,L51320,L,301.7,310.2,1331,61.2,47,1,0,1,0,0,0,8.5,0.04598046581517656
4142,H33555,H,301.7,310.1,1462,38.3,49,0,0,0,0,0,0,8.400000000000034,0.026196990424076607
4143,L51322,L,301.7,310.1,1424,50.2,54,0,0,0,0,0,0,8.400000000000034,0.035252808988764046
4144,L51323,L,301.7,310.1,1500,39.6,56,0,0,0,0,0,0,8.400000000000034,0.0264
4145,L51324,L,301.8,310.1,1738,28.0,58,0,0,0,0,0,0,8.300000000000011,0.01611047180667434
4146,M19005,M,301.8,310.3,1465,46.5,60,0,0,0,0,0,0,8.5,0.03174061433447099
4147,L51326,L,301.8,310.3,1482,41.4,63,0,0,0,0,0,0,8.5,0.027935222672064778
4148,L51327,L,301.9,310.3,1398,44.0,65,0,0,0,0,0,0,8.400000000000034,0.031473533619456366
4149,L51328,L,301.9,310.3,1972,21.3,67,0,0,0,0,0,0,8.400000000000034,0.010801217038539554
4150,L51329,L,301.9,310.4,1603,37.6,69,0,0,0,0,0,0,8.5,0.02345601996257018
4151,L51330,L,301.9,310.4,1610,34.8,71,0,0,0,0,0,0,8.5,0.021614906832298136
4152,M19011,M,301.9,310.4,1373,48.0,73,1,0,1,0,0,0,8.5,0.03495994173343044
4153,M19012,M,302.0,310.5,1425,44.7,76,0,0,0,0,0,0,8.5,0.03136842105263158
4154,M19013,M,302.0,310.4,1212,55.6,79,1,0,1,0,0,0,8.399999999999977,0.045874587458745876
4155,M19014,M,302.0,310.4,1828,26.3,82,0,0,0,0,0,0,8.399999999999977,0.01438730853391685
4156,L51335,L,302.0,310.5,1370,44.4,85,1,0,1,0,0,0,8.5,0.03240875912408759
4157,M19016,M,302.0,310.5,1823,25.1,87,0,0,0,0,0,0,8.5,0.013768513439385628
4158,L51337,L,302.0,310.5,1263,60.6,90,1,0,1,0,0,0,8.5,0.04798099762470309
4159,L51338,L,301.9,310.4,1889,21.5,92,0,0,0,0,0,0,8.5,0.011381683430386447
4160,M19019,M,302.0,310.5,1639,32.9,94,0,0,0,0,0,0,8.5,0.020073215375228798
4161,M19020,M,302.0,310.4,1608,33.1,97,0,0,0,0,0,0,8.399999999999977,0.020584577114427863
4162,H33575,H,301.9,310.3,1653,32.4,100,0,0,0,0,0,0,8.400000000000034,0.019600725952813067
4163,L51342,L,302.0,310.4,1591,29.8,105,0,0,0,0,0,0,8.399999999999977,0.018730358265241987
4164,L51343,L,302.1,310.5,1696,30.9,107,0,0,0,0,0,0,8.399999999999977,0.01821933962264151
4165,L51344,L,302.2,310.6,1346,47.5,109,1,0,1,0,0,0,8.400000000000034,0.03528974739970282
4166,M19025,M,302.2,310.5,1507,40.4,111,0,0,0,0,0,0,8.300000000000011,0.026808228268082282
4167,H33580,H,302.3,310.6,1525,48.7,114,0,0,0,0,0,0,8.300000000000011,0.0319344262295082
4168,M19027,M,302.3,310.7,1559,33.9,119,0,0,0,0,0,0,8.399999999999977,0.021744708146247595
4169,L51348,L,302.2,310.6,1632,30.5,122,0,0,0,0,0,0,8.400000000000034,0.018688725490196078
4170,L51349,L,302.1,310.5,1559,36.0,124,0,0,0,0,0,0,8.399999999999977,0.023091725465041693
4171,M19030,M,302.2,310.6,1355,51.5,126,1,0,1,0,0,0,8.400000000000034,0.03800738007380074
4172,M19031,M,302.2,310.5,1832,23.7,129,0,0,0,0,0,0,8.300000000000011,0.012936681222707424
4173,L51352,L,302.2,310.6,1386,50.0,132,0,0,0,0,0,0,8.400000000000034,0.03607503607503607
4174,M19033,M,302.2,310.6,1346,49.2,134,1,0,1,0,0,0,8.400000000000034,0.036552748885586926
4175,L51354,L,302.3,310.7,1499,37.8,137,0,0,0,0,0,0,8.399999999999977,0.025216811207471646
4176,L51355,L,302.3,310.7,1612,33.4,139,0,0,0,0,0,0,8.399999999999977,0.020719602977667492
4177,M19036,M,302.3,310.7,1544,39.7,141,0,0,0,0,0,0,8.399999999999977,0.025712435233160625
4178,L51357,L,302.5,310.9,1477,39.2,144,0,0,0,0,0,0,8.399999999999977,0.026540284360189577
4179,L51358,L,302.5,310.9,1624,34.4,146,0,0,0,0,0,0,8.399999999999977,0.021182266009852214
4180,L51359,L,302.4,310.9,1349,46.1,148,1,0,1,0,0,0,8.5,0.03417346182357302
4181,L51360,L,302.4,310.8,1686,28.8,150,0,0,0,0,0,0,8.400000000000034,0.01708185053380783
4182,M19041,M,302.4,310.7,1521,40.4,152,0,0,0,0,0,0,8.300000000000011,0.02656147271531887
4183,L51362,L,302.4,310.7,1362,54.8,155,1,0,1,0,0,0,8.300000000000011,0.04023494860499265
4184,L51363,L,302.3,310.7,1402,50.9,157,0,0,0,0,0,0,8.399999999999977,0.03630527817403709
4185,L51364,L,302.2,310.6,1334,53.2,159,1,0,1,0,0,0,8.400000000000034,0.039880059970014994
4186,L51365,L,302.2,310.6,1348,48.4,161,1,0,1,0,0,0,8.400000000000034,0.03590504451038576
4187,M19046,M,302.2,310.6,1570,34.6,163,0,0,0,0,0,0,8.400000000000034,0.022038216560509555
4188,M19047,M,302.2,310.7,1601,33.0,166,0,0,0,0,0,0,8.5,0.02061211742660837
4189,M19048,M,302.3,310.8,1611,31.8,169,0,0,0,0,0,0,8.5,0.01973929236499069
4190,L51369,L,302.4,310.9,1560,31.8,172,0,0,0,0,0,0,8.5,0.020384615384615386
4191,H33604,H,302.4,310.9,1444,40.7,174,0,0,0,0,0,0,8.5,0.02818559556786704
4192,L51371,L,302.4,311.0,1317,59.4,179,0,0,0,0,0,0,8.600000000000023,0.04510250569476082
4193,M19052,M,302.5,311.0,1463,43.1,181,0,0,0,0,0,0,8.5,0.02946001367053999
4194,L51373,L,302.4,311.1,1634,34.2,184,0,0,0,0,0,0,8.700000000000045,0.020930232558139538
4195,L51374,L,302.4,311.0,1423,46.2,186,0,0,0,0,0,0,8.600000000000023,0.03246661981728742
4196,L51375,L,302.5,311.0,1548,38.4,188,0,0,0,0,0,0,8.5,0.024806201550387597
4197,M19056,M,302.5,311.0,1563,35.6,190,0,0,0,0,0,0,8.5,0.022776711452335254
4198,L51377,L,302.4,311.0,1573,36.5,193,0,0,0,0,0,0,8.600000000000023,0.023204068658614112
4199,M19058,M,302.4,311.1,1432,44.5,195,0,0,0,0,0,0,8.700000000000045,0.031075418994413406
4200,M19059,M,302.5,311.1,1638,32.0,198,0,0,0,0,0,0,8.600000000000023,0.019536019536019536
4201,L51380,L,302.5,311.1,1571,34.2,201,0,0,0,0,0,0,8.600000000000023,0.021769573520050926
4202,L51381,L,302.4,311.0,2211,15.4,203,0,0,0,0,0,0,8.600000000000023,0.006965174129353234
4203,L51382,L,302.4,311.0,1555,40.6,205,0,0,0,0,0,0,8.600000000000023,0.026109324758842443
4204,M19063,M,302.3,310.9,1558,31.9,207,0,0,0,0,0,0,8.599999999999966,0.02047496790757381
4205,M19064,M,302.3,310.9,1523,43.2,210,0,0,0,0,0,0,8.599999999999966,0.028365068942875906
4206,L51385,L,302.3,310.8,1723,26.3,213,0,0,0,0,0,0,8.5,0.01526407428903076
4207,M19066,M,302.3,310.8,1721,28.4,215,0,0,0,0,0,0,8.5,0.016502033701336433
4208,M19067,M,302.3,310.9,1710,30.4,218,1,1,0,0,0,0,8.599999999999966,0.017777777777777778
4209,M19068,M,302.3,310.9,1627,32.3,0,0,0,0,0,0,0,8.599999999999966,0.019852489244007374
4210,M19069,M,302.2,310.8,1422,47.0,3,0,0,0,0,0,0,8.600000000000023,0.03305203938115331
4211,L51390,L,302.1,310.8,1565,35.3,6,0,0,0,0,0,0,8.699999999999989,0.02255591054313099
4212,L51391,L,302.1,310.7,1314,52.8,8,1,0,1,0,0,0,8.599999999999966,0.04018264840182648
4213,M19072,M,302.0,310.6,1392,60.5,10,0,0,0,0,0,0,8.600000000000023,0.04346264367816092
4214,L51393,L,302.1,310.7,1465,40.7,13,0,0,0,0,0,0,8.599999999999966,0.02778156996587031
4215,L51394,L,301.9,310.6,1573,36.6,15,0,0,0,0,0,0,8.700000000000045,0.02326764144945963
4216,M19075,M,302.0,310.7,2157,17.8,17,0,0,0,0,0,0,8.699999999999989,0.008252202132591563
4217,L51396,L,301.9,310.7,1370,50.3,20,0,0,0,0,0,0,8.800000000000011,0.03671532846715328
4218,L51397,L,301.9,310.6,1462,38.8,22,0,0,0,0,0,0,8.700000000000045,0.026538987688098495
4219,M19078,M,302.0,310.6,1479,40.5,24,0,0,0,0,0,0,8.600000000000023,0.02738336713995943
4220,L51399,L,301.9,310.7,1717,26.8,27,0,0,0,0,0,0,8.800000000000011,0.015608619685497961
4221,M19080,M,301.9,310.6,1260,65.9,29,0,0,0,0,0,0,8.700000000000045,0.05230158730158731
4222,L51401,L,301.9,310.6,1467,39.3,32,0,0,0,0,0,0,8.700000000000045,0.02678936605316973
4223,M19082,M,302.0,310.6,1535,38.6,34,0,0,0,0,0,0,8.600000000000023,0.02514657980456026
4224,L51403,L,302.0,310.7,1657,31.9,37,0,0,0,0,0,0,8.699999999999989,0.019251659625829812
4225,L51404,L,302.0,310.7,1698,28.1,39,0,0,0,0,0,0,8.699999999999989,0.016548881036513547
4226,L51405,L,302.1,310.7,1359,49.3,41,1,0,1,0,0,0,8.599999999999966,0.03627667402501839
4227,L51406,L,302.1,310.8,1596,37.1,43,0,0,0,0,0,0,8.699999999999989,0.02324561403508772
4228,L51407,L,302.2,310.8,1383,46.9,45,0,0,0,0,0,0,8.600000000000023,0.0339117859725235
4229,L51408,L,302.2,310.8,2203,16.6,47,0,0,0,0,0,0,8.600000000000023,0.007535179300953246
4230,M19089,M,302.2,310.8,1408,46.8,49,0,0,0,0,0,0,8.600000000000023,0.03323863636363636
4231,L51410,L,302.2,310.8,1673,32.9,52,0,0,0,0,0,0,8.600000000000023,0.019665271966527197
4232,L51411,L,302.2,310.8,1340,47.8,54,0,0,0,0,0,0,8.600000000000023,0.035671641791044775
4233,L51412,L,302.2,310.9,1452,42.3,56,0,0,0,0,0,0,8.699999999999989,0.029132231404958676
4234,M19093,M,302.2,310.9,1302,53.4,58,0,0,0,0,0,0,8.699999999999989,0.041013824884792625
4235,H33648,H,302.2,310.9,1522,35.9,61,0,0,0,0,0,0,8.699999999999989,0.023587385019710905
4236,L51415,L,302.2,310.8,1438,41.4,66,0,0,0,0,0,0,8.600000000000023,0.02878998609179416
4237,L51416,L,302.2,310.9,1604,40.5,68,0,0,0,0,0,0,8.699999999999989,0.02524937655860349
4238,L51417,L,302.2,311.0,1832,23.2,70,0,0,0,0,0,0,8.800000000000011,0.012663755458515284
4239,M19098,M,302.3,311.0,1521,34.8,72,0,0,0,0,0,0,8.699999999999989,0.022879684418145956
4240,L51419,L,302.3,311.0,1446,37.6,75,0,0,0,0,0,0,8.699999999999989,0.02600276625172891
4241,L51420,L,302.4,311.1,1905,20.9,77,0,0,0,0,0,0,8.700000000000045,0.010971128608923884
4242,L51421,L,302.4,311.0,1475,47.9,79,0,0,0,0,0,0,8.600000000000023,0.03247457627118644
4243,L51422,L,302.4,311.0,1462,48.5,81,0,0,0,0,0,0,8.600000000000023,0.03317373461012312
4244,M19103,M,302.4,310.9,1435,42.3,83,0,0,0,0,0,0,8.5,0.029477351916376304
4245,L51424,L,302.4,310.9,1469,39.6,86,0,0,0,0,0,0,8.5,0.026957113682777402
4246,M19105,M,302.6,311.1,1520,43.0,88,0,0,0,0,0,0,8.5,0.028289473684210528
4247,L51426,L,302.6,311.0,1537,35.5,91,0,0,0,0,0,0,8.399999999999977,0.02309694209499024
4248,L51427,L,302.6,311.0,1369,60.0,93,1,0,1,0,0,0,8.399999999999977,0.04382761139517896
4249,L51428,L,302.6,311.0,1506,37.2,95,0,0,0,0,0,0,8.399999999999977,0.024701195219123506
4250,L51429,L,302.5,310.9,1330,56.9,97,1,0,1,0,0,0,8.399999999999977,0.042781954887218046
4251,L51430,L,302.6,311.0,1660,38.0,99,0,0,0,0,0,0,8.399999999999977,0.02289156626506024
4252,H33665,H,302.5,310.9,1356,55.5,101,1,0,1,0,0,0,8.399999999999977,0.04092920353982301
4253,H33666,H,302.6,311.0,1438,51.0,106,0,0,0,0,0,0,8.399999999999977,0.03546592489568846
4254,M19113,M,302.6,311.0,1329,48.6,111,1,0,1,0,0,0,8.399999999999977,0.036568848758465014
4255,L51434,L,302.6,311.0,1284,68.0,114,1,0,1,1,0,0,8.399999999999977,0.0529595015576324
4256,M19115,M,302.5,311.0,1387,52.1,116,0,0,0,0,0,0,8.5,0.03756308579668349
4257,M19116,M,302.6,311.0,1591,33.9,119,0,0,0,0,0,0,8.399999999999977,0.0213073538654934
4258,M19117,M,302.6,311.0,1589,39.0,122,0,0,0,0,0,0,8.399999999999977,0.024543738200125866
4259,M19118,M,302.7,311.1,1297,60.7,125,1,0,1,0,0,0,8.400000000000034,0.046800308404009255
4260,L51439,L,302.7,311.2,1545,35.1,128,0,0,0,0,0,0,8.5,0.02271844660194175
4261,H33674,H,302.7,311.1,1418,43.4,130,0,0,0,0,0,0,8.400000000000034,0.030606488011283496
4262,L51441,L,302.7,311.1,1730,28.1,135,0,0,0,0,0,0,8.400000000000034,0.01624277456647399
4263,L51442,L,302.6,311.0,2001,20.7,137,0,0,0,0,0,0,8.399999999999977,0.010344827586206896
4264,L51443,L,302.6,311.0,1620,36.2,139,0,0,0,0,0,0,8.399999999999977,0.02234567901234568
4265,M19124,M,302.6,311.0,1542,39.7,141,0,0,0,0,0,0,8.399999999999977,0.02574578469520104
4266,L51445,L,302.6,311.0,1424,38.0,144,0,0,0,0,0,0,8.399999999999977,0.026685393258426966
4267,L51446,L,302.7,311.1,1440,39.5,146,0,0,0,0,0,0,8.400000000000034,0.027430555555555555
4268,L51447,L,302.6,311.0,1520,42.8,148,0,0,0,0,0,0,8.399999999999977,0.028157894736842104
4269,L51448,L,302.7,311.0,1694,29.8,150,0,0,0,0,0,0,8.300000000000011,0.01759149940968123
4270,L51449,L,302.6,311.0,1610,39.2,152,0,0,0,0,0,0,8.399999999999977,0.024347826086956525
4271,L51450,L,302.6,310.9,1331,52.0,154,1,0,1,0,0,0,8.299999999999955,0.03906836964688205
4272,L51451,L,302.6,310.8,1470,41.2,156,0,0,0,0,0,0,8.199999999999989,0.028027210884353743
4273,L51452,L,302.5,310.8,1577,36.9,158,0,0,0,0,0,0,8.300000000000011,0.02339885859226379
4274,L51453,L,302.6,310.8,1486,36.4,160,0,0,0,0,0,0,8.199999999999989,0.02449528936742934
